Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (Baseline),184,0.0020,99.98%,0.1792,95.32%,
ResNet18 (Baseline),185,0.0019,99.99%,0.1798,95.19%,
ResNet18 (Baseline),186,0.0018,99.99%,0.1785,95.32%,
ResNet18 (Baseline),187,0.0018,99.99%,0.1777,95.33%,
ResNet18 (Baseline),188,0.0018,99.99%,0.1777,95.31%,
ResNet18 (Baseline),189,0.0017,100.00%,0.1772,95.34%,
ResNet18 (Baseline),190,0.0017,100.00%,0.1764,95.31%,
ResNet18 (Baseline),191,0.0016,100.00%,0.1776,95.23%,
ResNet18 (Baseline),192,0.0018,100.00%,0.1770,95.34%,
ResNet18 (Baseline),193,0.0016,100.00%,0.1782,95.23%,
ResNet18 (Baseline),194,0.0018,99.98%,0.1772,95.33%,
ResNet18 (Baseline),195,0.0016,100.00%,0.1766,95.24%,
ResNet18 (Baseline),196,0.0017,99.99%,0.1763,95.34%,
ResNet18 (Baseline),197,0.0017,100.00%,0.1775,95.25%,
ResNet18 (Baseline),198,0.0017,100.00%,0.1762,95.34%,
ResNet18 (Baseline),199,0.0017,100.00%,0.1767,95.33%,
ResNet18 (Baseline),200,0.0018,99.99%,0.1770,95.30%,
ResNet18 (ADC),1,1.8621,30.44%,1.6534,37.42%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),2,1.7002,36.80%,1.6880,38.76%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),3,1.5895,40.56%,1.5614,43.23%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),4,1.5341,42.58%,1.4362,46.91%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),5,1.4786,44.52%,1.4176,46.36%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),6,1.4002,47.70%,1.3627,47.82%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),7,1.3370,50.31%,1.4508,48.09%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),8,1.2982,51.89%,1.2855,52.73%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),9,1.2247,54.81%,1.2458,53.87%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),10,1.1997,55.84%,1.2386,54.83%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),11,1.1557,57.37%,1.1848,57.18%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),12,1.1192,58.78%,1.1394,59.34%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),13,1.0927,59.87%,1.1183,58.08%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),14,1.0717,60.51%,1.1705,56.90%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),15,1.0574,61.16%,1.2423,56.86%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),16,1.0313,62.33%,1.1183,60.82%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),17,1.0049,62.80%,1.3491,53.17%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),18,0.9773,64.03%,1.0316,64.46%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),19,1.0148,62.66%,1.2452,58.44%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),20,0.9919,63.45%,0.9879,64.36%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),21,0.9520,64.86%,1.1663,60.00%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),22,0.9842,63.94%,1.0373,62.47%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),23,0.9164,65.96%,0.9834,64.86%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),24,0.9090,66.40%,0.9688,66.37%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),25,0.9054,66.54%,0.9389,65.61%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),26,0.8964,66.67%,0.9868,64.98%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),27,0.8856,67.17%,0.9540,65.98%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),28,0.8725,67.89%,0.9268,66.14%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),29,0.8686,67.98%,0.9187,67.91%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),30,0.8557,68.50%,0.8889,66.96%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),31,0.8459,68.69%,0.9315,67.90%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),32,0.8467,68.66%,0.8762,67.92%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),33,0.8372,69.14%,0.8693,68.30%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),34,0.8257,69.35%,0.8660,68.11%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),35,0.8225,69.80%,0.8514,68.91%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),36,0.8184,69.79%,0.9199,67.43%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),37,0.8144,69.75%,0.9179,68.17%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),38,0.8082,70.22%,0.8808,68.40%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),39,0.8061,70.36%,0.8513,68.69%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),40,0.8033,70.32%,0.9068,68.68%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),41,0.7949,70.79%,0.8508,68.76%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),42,0.7872,70.99%,0.8498,69.87%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),43,0.7822,71.27%,0.8182,70.74%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),44,0.7800,71.04%,0.8998,68.04%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),45,0.7801,70.89%,0.8255,70.68%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),46,0.7840,70.81%,0.8107,70.90%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),47,0.7742,71.29%,0.8962,69.46%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),48,0.7588,71.92%,0.8073,71.02%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),49,0.7592,71.89%,0.7972,71.85%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),50,0.7526,72.14%,0.8230,70.33%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),51,0.7486,72.26%,0.8369,69.86%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),52,0.7501,72.15%,0.8070,71.01%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),53,0.7462,72.42%,0.7905,71.36%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),54,0.7359,72.46%,0.7936,71.22%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),55,0.7319,72.87%,0.8010,72.56%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),56,0.7395,72.51%,0.7917,72.22%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),57,0.7326,72.89%,0.7856,72.15%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),58,0.7343,72.63%,0.7736,72.23%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),59,0.7293,72.95%,0.7596,72.31%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),60,0.7367,72.78%,0.7682,72.32%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),61,0.7227,73.13%,0.7777,72.49%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),62,0.7234,73.07%,0.8130,71.73%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),63,0.7287,72.87%,0.7840,71.67%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),64,0.7229,72.99%,0.7744,72.41%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),65,0.7258,73.02%,0.8101,70.51%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),66,0.7256,73.08%,0.7800,72.26%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),67,0.7188,73.07%,0.8350,69.40%,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),68,0.7183,73.38%,0.8231,70.65%,bx=8 bw=8 ba=8 k=4
