Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",1,0.9417,69.88%,0.6195,78.27%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",2,0.5563,79.96%,0.5173,81.67%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",3,0.4873,82.93%,0.4901,82.04%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",4,0.4719,83.19%,0.4863,82.46%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",5,0.4555,83.55%,0.4807,82.02%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",6,0.4466,83.66%,0.4783,82.36%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",7,0.4451,83.88%,0.4862,82.84%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",8,0.4351,84.06%,0.4764,82.31%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",9,0.4440,83.53%,0.5182,80.70%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",10,0.4453,83.30%,0.4967,82.00%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",11,0.4509,83.02%,0.5399,79.82%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",12,0.4989,81.03%,0.6167,76.87%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",13,0.6636,74.41%,0.9191,69.97%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",14,1.0483,71.29%,1.2741,69.50%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",15,1.3582,70.30%,1.5676,67.60%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",16,1.7938,69.58%,2.5382,68.43%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",17,2.4130,69.41%,2.8460,69.75%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",18,3.0967,69.26%,4.2747,69.35%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",19,4.0177,69.34%,5.0576,69.11%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",20,5.2342,69.65%,6.7134,70.06%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
